No,Bahan Makanan,Mentah,BDD
1,Nasi,"0,4",100
2,Ayam Goreng,"1,6",58
3,Ayam Tumis,"1,3",58
4,Tahu Goreng,"1,8",100
5,Perkedel jagung,"0,9",100
6,Telur Rebus,"0,9",89
7,Telur Ceplok,"0,9",100
8,Telur Dadar,"0,9",100
9,Pisang,1,85
10,Tempe Tumis,"1,1",100
11,Kacang Panjang,1,100
12,Lele Goreng,"2,4",80
13,Bawal Goreng,"1,5",80
14,Patin Goreng,"1,5",80
15,Nila Goreng,"1,2",80
16,Tahu Goreng Tumis,"0,9",100
17,Mie Goreng,"0,3",100
18,Tempe Goreng,1,100
19,Pindang Goreng,"1,4",90
20,Tahu Tumis,"1,9",100
21,Tahu Bacem,"1,2",100
22,Taoge,1,100
23,Tongkol Goreng,"1,4",90
24,Daging,"1,8",100
25,Nangka,1,100
26,Bandeng Goreng,"1,5",80
27,Sawi,1,100
28,Ayam Rebus,"1,3",58
29,Wortel,1,100
30,Kentang,1,100
31,Lajang Goreng,"1,4",90
32,Bayam,1,100
33,Jagung,1,100
34,Labu Siam,1,100
35,Labu Waluh,1,100
36,Gambas/Oyong,1,100
37,Perkedel Kentang,"1,2",100
38,Semangka,1,46
39,Ikan Asin Goreng,"1,1",70
40,Kol,1,100
41,Udang Papai,"1,5",90
42,Tempe Bacem,1,100
43,Oyong,1,100
44,Kelapa Parut,1,100
45,Daging Rebus,"1,8",100
46,Perkedel Tahu,"1,2",100
47,Buncis,1,100
48,Soun,1,100
49,Bumbu Pecel,1,100
50,Peda Goreng,"1,4",90
51,Bihun,"0,4",100
52,Perkedel Kentang,"1,2",100
53,Timun,1,100
54,Jeruk,1,72
55,Salak,1,50
56,Kerupuk,1,100
57,Nasi Merah,"0,4",100
58,Dada Ayam Panggang,"1,7",100
59,Selada,1,100
60,Langsat,1,64
61,Jagung Pipil Rebus,"0,7",100
62,Toge,1,100
63,Telur Orak Arik,"1,1",89
64,Dada Ayam Tumis,"1,5",100
65,Pepaya,1,75
66,Melon,1,58
67,Kentang Rebus,"1,1",85
68,Tomat Tumis,"1,3",100
69,Wortel Tumis,1,80
70,Wortel Rebus,"1,1",80
71,Sawi Putih,1,79
72,Ubi Jalar Rebus,"1,1",85
73,Udang Tumis,"1,5",68
74,Sawi Hijau,"0,9",87
75,Brokoli,1,57
76,Tahu Rebus,"1,3",100
77,Tomat Rebus,"0,9",100
78,Buncis Rebus,"0,9",90
79,Peda Pepes,"1,2",90
80,Bayam Rebus,"1,1",100
81,Pir,1,95
82,Pakcoy,"0,9",90
83,Pisang Ambon,1,75
84,Minyak Kelapa Sawit,1,100
85,Nangka Muda Rebus,1,75
86,Daun Singkong Rebus,"0,8",87
87,Daun Singkong Rebus Santan,"1,5",87
88,Santan,1,100
89,Jagung Pipil Goreng,1,100
90,Tepung Terigu,1,100
91,Toge Tumis,1,100
92,Sawi Hijau Tumis,1,87
93,Kol Tumis,1,75
94,Kacang Pajang Rebus,1,92
95,Kol Rebus,1,75
96,Labu Siam Rebus,1,83
97,Kentang Tumis,1,84
98,Ayam Bakar,"1,2",58
99,Kates Tumis,1,76
100,Kacang Panjang Tumis,1,92
101,Buncis Tumis,1,90
102,Terong Tumis,1,87
103,Daging Tumis,"1,3",100
104,Sawi Putih Tumis,1,87
105,Jagung Muda Tumis,1,100
106,Kecap,1,100
107,Pare Tumis,1,77
108,Daun Singkong Tumis,1,87
109,jagung pipil tumis,1,100
110,Tempe Rebus,"1,3",100
111,Makaroni,1,100
112,seledri,1,100
113,Kangkung Tumis,1,60
114,Kacang Panjang Rebus,1,92
115,Kentang Goreng,"2,9",84
116,Sambal,1,100
117,krecek,1,100
118,Gula Merah,1,100
119,Teri Tumis,1,100
120,Buavita,1,100
121,Teri Goreng,1,100
122,Peda Rebus,"1,4",90
123,Kacang Tanah Goreng,1,100
124,rambutan,1,40
125,kangkung Rebus,1,60
126,Sosis Tumis,1,100
127,Kurma,1,70
128,Susu Ultra Milk,1,100
129,Jamur,1,100
130,Kembang Kol,1,100
131,Serundeng,1,100
